epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4468,1.38967,2.87098,1.61061,0.37135,0.29788,0.2679,0.13706,1.81296,2.65175,2.19064,0.000369921,0.000369921,0.000369921
2,176.479,1.4801,2.49921,1.6988,0.45582,0.29357,0.30746,0.17059,1.70977,2.39936,2.04117,0.000715826,0.000715826,0.000715826
3,256.274,1.49416,2.36518,1.71468,0.41472,0.31891,0.29674,0.15408,1.82461,2.50068,2.16002,0.00103729,0.00103729,0.00103729
4,337.632,1.4643,2.27021,1.68309,0.46765,0.38622,0.39981,0.23851,1.61489,2.11993,1.94833,0.00100101,0.00100101,0.00100101
5,418.51,1.42066,2.14861,1.64907,0.56815,0.42371,0.44809,0.26411,1.60568,2.00661,1.90805,0.000964348,0.000964348,0.000964348
6,501.032,1.36672,2.02463,1.61746,0.59792,0.4103,0.46632,0.28539,1.52994,1.93792,1.87444,0.000927685,0.000927685,0.000927685
7,599.007,1.35386,1.94899,1.59623,0.54947,0.48292,0.49635,0.30501,1.5332,1.74366,1.8453,0.000891022,0.000891022,0.000891022
8,680.896,1.33164,1.89746,1.57481,0.63909,0.4882,0.53705,0.34164,1.47831,1.69666,1.80739,0.000854359,0.000854359,0.000854359
9,757.495,1.29933,1.83214,1.55265,0.62041,0.50049,0.54361,0.34489,1.48272,1.69963,1.78734,0.000817696,0.000817696,0.000817696
10,835.57,1.27555,1.75394,1.53533,0.6341,0.51181,0.57245,0.37039,1.44983,1.58549,1.76891,0.000781033,0.000781033,0.000781033
11,915.639,1.25415,1.69626,1.50797,0.68062,0.53906,0.60161,0.39155,1.42087,1.5034,1.73503,0.00074437,0.00074437,0.00074437
12,1008.97,1.24854,1.67996,1.51225,0.68003,0.55119,0.60953,0.39752,1.42019,1.5128,1.73391,0.000707707,0.000707707,0.000707707
13,1089.72,1.2172,1.62192,1.49055,0.70099,0.56749,0.63429,0.41489,1.39589,1.39802,1.71389,0.000671044,0.000671044,0.000671044
14,1166.55,1.19686,1.58338,1.47211,0.65506,0.58348,0.63297,0.41195,1.3848,1.47633,1.68641,0.000634381,0.000634381,0.000634381
15,1243.43,1.2009,1.55132,1.46672,0.69593,0.56929,0.62811,0.4177,1.3685,1.41065,1.67357,0.000597718,0.000597718,0.000597718
16,1320.12,1.17734,1.51459,1.45324,0.75407,0.57544,0.66235,0.4394,1.35265,1.33451,1.65096,0.000561055,0.000561055,0.000561055
17,1397.41,1.16594,1.49063,1.44264,0.75782,0.56346,0.66387,0.44486,1.34034,1.34278,1.6478,0.000524392,0.000524392,0.000524392
18,1474.65,1.14895,1.43534,1.4291,0.72151,0.61875,0.687,0.4588,1.3072,1.25657,1.62387,0.000487729,0.000487729,0.000487729
19,1551.81,1.14918,1.42778,1.43082,0.73503,0.60829,0.6867,0.45803,1.30455,1.30976,1.6256,0.000451066,0.000451066,0.000451066
20,1629.19,1.13772,1.41185,1.41518,0.7517,0.60623,0.68677,0.46336,1.3092,1.25345,1.63018,0.000414403,0.000414403,0.000414403
