epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.596,1.10699,1.19141,1.42972,0.75022,0.59984,0.66861,0.45012,1.31198,1.32653,1.65268,0.000369921,0.000369921,0.000369921
2,288.214,1.1532,1.25999,1.4674,0.74453,0.5744,0.65312,0.431,1.35417,1.37081,1.68108,0.000666969,0.000666969,0.000666969
3,421.614,1.18523,1.32966,1.50872,0.7267,0.54431,0.62957,0.40562,1.38898,1.38695,1.70774,0.000890691,0.000890691,0.000890691
4,556.051,1.17283,1.30195,1.49536,0.6903,0.56624,0.62615,0.4201,1.33477,1.35224,1.65233,0.000781033,0.000781033,0.000781033
5,696.063,1.15238,1.23863,1.46743,0.73116,0.54969,0.63364,0.43551,1.33623,1.37466,1.66154,0.000671044,0.000671044,0.000671044
6,890.67,1.11744,1.16298,1.43824,0.75976,0.59563,0.67748,0.45401,1.29721,1.24922,1.60043,0.000561055,0.000561055,0.000561055
7,1117.91,1.08279,1.08892,1.40812,0.75081,0.62249,0.69386,0.46429,1.28881,1.22829,1.60349,0.000451066,0.000451066,0.000451066
8,1252.07,1.04599,1.03855,1.37684,0.72319,0.62586,0.69477,0.48632,1.24254,1.20613,1.56451,0.000341077,0.000341077,0.000341077
9,1387.73,1.01408,0.96297,1.34648,0.77549,0.64312,0.72557,0.49988,1.25769,1.12329,1.56406,0.000231088,0.000231088,0.000231088
10,1524.26,0.98268,0.92192,1.32372,0.78902,0.65602,0.73593,0.51234,1.22367,1.07855,1.53996,0.000121099,0.000121099,0.000121099
